espen_loc,year_id,age_start,age_end,measure,draw_0
0.00448431
0.00784753
0.0263158
0.0263158
1
0
0
0.00333519
0.00500278
0
0
1
0
0
0.00277316
0.00277316
0.0212766
0
1
0
0
0.00165929
0.00165929
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
