"RunningID","IUID","ScenStart","ScenFut","Endemicity"
4022,"AGO02140","Rest","65B.xxA","Non-endemic"
4023,"TZA46570","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4024,"AGO02155","Rest","65B.xxA","Endemicity unknown"
4025,"COD14122","IA","65A.xIA","Endemic (under MDA)"
4026,"COD14092","Rest","65B.xxA","Non-endemic"
4027,"AGO02217","Rest","65B.xxA","Endemicity unknown"
4028,"AGO02169","Rest","65B.xxA","Non-endemic"
4029,"COD14070","IA","65A.xIA","Non-endemic"
4030,"TZA46566","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4031,"AGO02051","Rest","65B.xxA","Non-endemic"
4032,"TZA46538","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4033,"TZA46567","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4034,"AGO02148","Rest","65B.xxA","Non-endemic"
4035,"AGO02090","Rest","65B.xxA","Endemic (MDA not delivered)"
4036,"AGO02222","Rest","65B.xxA","Endemic (MDA not delivered)"
4037,"TZA46568","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4038,"AGO02219","Rest","65B.xxA","Non-endemic"
4039,"AGO02094","Rest","65B.xxA","Endemic (MDA not delivered)"
4040,"COD14061","Rest","65B.xxA","Non-endemic"
4041,"TZA46542","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4042,"AGO02160","Rest","65B.xxA","Non-endemic"
4043,"ZMB50848","Rest","65A.xDA","Endemic (under MDA)"
4044,"TZA46533","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4045,"AGO02092","Rest","65B.xxA","Endemicity unknown"
4046,"ZMB50873","Rest","65A.xDA","Endemic (under MDA)"
4047,"AGO02052","Rest","65B.xxA","Non-endemic"
4048,"AGO02172","Rest","65B.xxA","Non-endemic"
4049,"AGO02151","Rest","65B.xxA","Endemicity unknown"
4050,"COD14112","IA","65A.xIA","Endemic (under MDA)"
4051,"AGO02091","Rest","65B.xxA","Non-endemic"
4052,"AGO02163","Rest","65B.xxA","Non-endemic"
4053,"TZA46569","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4054,"ZMB50844","Rest","65A.xDA","Endemic (under MDA)"
4055,"ZMB50870","Rest","65A.xDA","Endemic (under MDA)"
4056,"TZA46543","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4057,"TZA46535","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4058,"AGO02215","Rest","65B.xxA","Endemic (MDA not delivered)"
4059,"TZA46640","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4060,"TZA46536","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4061,"ZMB50872","Rest","65A.xDA","Endemic (under MDA)"
4062,"MWI28948","IA","65A.xIA","Non-endemic"
4063,"COD14078","IA","65A.xIA","Endemic (under MDA)"
4064,"COD14101","IA","65A.xIA","Endemic (under MDA)"
4065,"COD14083","IA","65A.xIA","Endemic (under MDA)"
4066,"TZA46565","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4067,"TZA46514","IA","65A.xIA","Endemic (under MDA)"
4068,"AGO02166","Rest","65B.xxA","Non-endemic"
4069,"ZMB50864","Rest","65A.xDA","Endemic (under MDA)"
4070,"MWI28951","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4071,"AGO02165","Rest","65B.xxA","Non-endemic"
4072,"TZA46583","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4073,"AGO02104","Rest","65B.xxA","Non-endemic"
4074,"TZA46518","IA","65A.xIA","Endemic (MDA not delivered)"
4075,"AGO02105","Rest","65B.xxA","Non-endemic"
4076,"ZMB53175","Rest","65A.xDA","Endemic (under MDA)"
4077,"ZMB50866","Rest","65A.xDA","Endemic (under MDA)"
4078,"ZMB50863","Rest","65A.IDA","Non-endemic"
4079,"TZA46515","IA","65A.xIA","Endemic (MDA not delivered)"
4080,"ZMB53180","Rest","65A.xDA","Endemic (under MDA)"
4081,"COD14065","IA","65A.xIA","Endemic (under MDA)"
4082,"COD14082","IA","65A.xIA","Endemic (under MDA)"
4083,"AGO02159","Rest","65B.xxA","Endemic (MDA not delivered)"
4084,"COD14115","IA","65A.xIA","Non-endemic"
4085,"COD14103","IA","65A.xIA","Endemic (under MDA)"
4086,"TZA46517","IA","65A.xIA","Endemic (MDA not delivered)"
4087,"ZMB50847","Rest","65A.xDA","Endemic (under MDA)"
4088,"ZMB53173","Rest","65A.xDA","Endemic (under MDA)"
4089,"COD14062","IA","65A.xIA","Endemic (under MDA)"
4090,"ZMB50867","Rest","65A.xDA","Endemic (under MDA)"
4091,"TZA46582","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4092,"TZA46553","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4093,"TZA46587","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4094,"AGO02106","Rest","65B.xxA","Endemic (MDA not delivered)"
4095,"AGO02101","Rest","65B.xxA","Non-endemic"
4096,"TZA46585","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4097,"TZA46554","IA","65A.xIA","Endemic (under MDA)"
4098,"AGO02102","Rest","65B.xxA","Endemicity unknown"
4099,"AGO02171","Rest","65B.xxA","Non-endemic"
4100,"COD14064","IA","65A.xIA","Non-endemic"
4101,"TZA46551","IA","65A.xIA","Endemic (under MDA)"
4102,"TZA46556","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4103,"TZA46557","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4104,"TZA46634","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4105,"AGO02158","Rest","65B.xxA","Non-endemic"
4106,"ZMB50836","Rest","65A.IDA","Non-endemic"
4107,"COD14066","IA","65A.xIA","Non-endemic"
4108,"COD14100","IA","65A.xIA","Non-endemic"
4109,"TZA46584","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4110,"AGO02168","Rest","65B.xxA","Non-endemic"
4111,"ZMB53181","Rest","65A.IDA","Non-endemic"
4112,"TZA46586","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4113,"MOZ33114","IA","65A.xIA","Endemic (MDA not delivered)"
4114,"COD14075","Rest","65B.xxA","Non-endemic"
4115,"COD14089","IA","65A.xIA","Non-endemic"
4116,"MWI28968","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4117,"AGO02181","Rest","65B.xxA","Non-endemic"
4118,"AGO02099","Rest","65B.xxA","Non-endemic"
4119,"AGO02063","Rest","65B.xxA","Non-endemic"
4120,"ZMB50845","Rest","65A.IDA","Non-endemic"
4121,"TZA46552","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4122,"ZMB50849","Rest","65A.IDA","Non-endemic"
4123,"ZMB50862","Rest","65A.xDA","Endemic (under MDA)"
4124,"TZA46555","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4125,"AGO02098","Rest","65B.xxA","Non-endemic"
4126,"AGO02071","Rest","65B.xxA","Non-endemic"
4127,"TZA46635","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4128,"COD14106","IA","65A.xIA","Endemic (under MDA)"
4129,"TZA46641","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4130,"MOZ33113","IA","65A.xIA","Endemic (MDA not delivered)"
4131,"AGO02108","Rest","65B.xxA","Non-endemic"
4132,"COD14099","IA","65A.xIA","Endemic (under MDA)"
4133,"COD14081","IA","65A.xIA","Non-endemic"
4134,"ZMB50859","Rest","65A.xDA","Endemic (MDA not delivered)"
4135,"AGO02167","Rest","65B.xxA","Non-endemic"
4136,"ZMB50869","Rest","65A.xDA","Endemic (under MDA)"
4137,"AGO02103","Rest","65B.xxA","Non-endemic"
4138,"AGO02068","Rest","65B.xxA","Non-endemic"
4139,"COD14071","IA","65A.xIA","Non-endemic"
4140,"MOZ33110","IA","65A.xIA","Endemic (MDA not delivered)"
4141,"AGO02176","Rest","65B.xxA","Non-endemic"
4142,"MWI28972","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4143,"MWI28962","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4144,"AGO02180","IA","65A.xIA","Non-endemic"
4145,"MOZ33108","IA","65A.xIA","Endemic (MDA not delivered)"
4146,"COD14090","IA","65A.xIA","Non-endemic"
4147,"AGO02107","Rest","65B.xxA","Non-endemic"
4148,"AGO02177","Rest","65B.xxA","Non-endemic"
4149,"ZMB53174","Rest","65A.IDA","Non-endemic"
4150,"AGO02184","Rest","65B.xxA","Non-endemic"
4151,"AGO02220","Rest","65B.xxA","Non-endemic"
4152,"COD14118","IA","65A.xIA","Non-endemic"
4153,"MOZ33204","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4154,"COD14094","IA","65A.xIA","Endemic (under MDA)"
4155,"AGO02100","Rest","65B.xxA","Endemicity unknown"
4156,"MOZ33209","IA","65A.xIA","Non-endemic"
4157,"ZMB50846","Rest","65A.xDA","Endemic (under MDA)"
4158,"AGO02116","Rest","65B.xxA","Non-endemic"
4159,"AGO02124","Rest","65B.xxA","Non-endemic"
4160,"COD14120","IA","65A.xIA","Non-endemic"
4161,"ZMB53172","Rest","65A.IDA","Non-endemic"
4162,"AGO02179","Rest","65B.xxA","Non-endemic"
4163,"COD14102","IA","65A.xIA","Endemic (under MDA)"
4164,"ZMB50860","Rest","65A.xDA","Endemic (MDA not delivered)"
4165,"COD14124","IA","65A.xIA","Non-endemic"
4166,"COD14080","IA","65A.xIA","Non-endemic"
4167,"ZMB50839","Rest","65A.xDA","Endemic (under MDA)"
4168,"MOZ33196","IA","65A.xIA","Non-endemic"
4169,"MOZ33201","IA","65A.xIA","Non-endemic"
4170,"MOZ33111","IA","65A.xIA","Endemic (MDA not delivered)"
4171,"COD14121","IA","65A.xIA","Endemic (under MDA)"
4172,"AGO02070","Rest","65B.xxA","Non-endemic"
4173,"AGO02066","Rest","65B.xxA","Non-endemic"
4174,"COD14074","IA","65A.xIA","Non-endemic"
4175,"MOZ33105","IA","65A.xIA","Endemic (MDA not delivered)"
4176,"AGO02062","Rest","65B.xxA","Endemic (MDA not delivered)"
4177,"COD14111","IA","65A.xIA","Non-endemic"
4178,"AGO02067","Rest","65B.xxA","Non-endemic"
4179,"COD14087","IA","65A.xIA","Endemic (under MDA)"
4180,"AGO02057","Rest","65B.xxA","Non-endemic"
4181,"COD14085","IA","65A.xIA","Non-endemic"
4182,"MOZ33109","IA","65A.xIA","Endemic (MDA not delivered)"
4183,"COD14095","IA","65A.xIA","Endemic (under MDA)"
4184,"MWI28973","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4185,"AGO02122","Rest","65B.xxA","Non-endemic"
4186,"MDG27897","IA","65A.xDA","Endemic (under MDA)"
4187,"ZMB53167","Rest","65A.xDA","Endemic (MDA not delivered)"
4188,"AGO02069","Rest","65B.xxA","Non-endemic"
4189,"AGO02055","Rest","65B.xxA","Non-endemic"
4190,"MOZ33107","IA","65A.xIA","Endemic (MDA not delivered)"
4191,"AGO02064","Rest","65B.xxA","Non-endemic"
4192,"MOZ33200","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4193,"AGO02119","Rest","65B.xxA","Non-endemic"
4194,"AGO02125","Rest","65B.xxA","Non-endemic"
4195,"ZMB50826","Rest","65A.xDA","Endemic (MDA not delivered)"
4196,"ZMB50825","Rest","65A.xDA","Endemic (MDA not delivered)"
4197,"MOZ33206","IA","65A.xIA","Non-endemic"
4198,"AGO02118","Rest","65B.xxA","Non-endemic"
4199,"AGO02121","Rest","65B.xxA","Non-endemic"
4200,"MWI28963","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4201,"MOZ33116","IA","65A.xIA","Endemic (MDA not delivered)"
4202,"MDG27898","IA","65A.xDA","Endemic (under MDA)"
4203,"ZMB50830","Rest","65A.xDA","Endemic (MDA not delivered)"
4204,"MWI28952","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4205,"AGO02126","IA","65A.xIA","Non-endemic"
4206,"ZMB50833","Rest","65A.xDA","Endemic (MDA not delivered)"
4207,"AGO02216","IA","65A.xIA","Non-endemic"
4208,"AGO02056","IA","65A.xIA","Non-endemic"
4209,"ZMB53184","Rest","65A.xDA","Endemic (MDA not delivered)"
4210,"ZMB50824","Rest","65A.xDA","Endemic (MDA not delivered)"
4211,"AGO02117","IA","65A.xIA","Non-endemic"
4212,"AGO02060","IA","65A.xIA","Non-endemic"
4213,"ZMB50827","Rest","65A.xDA","Endemic (MDA not delivered)"
4214,"AGO02054","IA","65A.xIA","Non-endemic"
4215,"MOZ33100","IA","65A.xIA","Endemic (MDA not delivered)"
4216,"AGO02059","IA","65A.xIA","Non-endemic"
4217,"AGO02123","IA","65A.xIA","Non-endemic"
4218,"ZMB50828","Rest","65A.xDA","Endemic (MDA not delivered)"
4219,"MOZ33198","IA","65A.xIA","Non-endemic"
4220,"MOZ33115","IA","65A.xIA","Endemic (MDA not delivered)"
4221,"AGO02061","IA","65A.xIA","Non-endemic"
4222,"AGO02120","Rest","65B.xxA","Non-endemic"
4223,"AGO02183","Rest","65B.xxA","Non-endemic"
4224,"ZMB50834","Rest","65A.xDA","Endemic (MDA not delivered)"
4225,"MDG27924","IA","65A.xDA","Endemic (MDA not delivered)"
4226,"AGO02065","Rest","65B.xxA","Non-endemic"
4227,"MDG27896","IA","65A.xDA","Endemic (under MDA)"
4228,"ZMB50857","Rest","65A.xDA","Endemic (MDA not delivered)"
4229,"ZMB50831","Rest","65A.xDA","Endemic (MDA not delivered)"
4230,"ZMB50858","Rest","65A.xDA","Endemic (MDA not delivered)"
4231,"ZMB50829","Rest","65A.xDA","Endemic (MDA not delivered)"
4232,"ZMB50840","Rest","65A.xDA","Endemic (under MDA)"
4233,"MOZ33101","IA","65A.xIA","Endemic (MDA not delivered)"
4234,"ZMB50855","Rest","65A.xDA","Endemic (MDA not delivered)"
4235,"ZMB50861","Rest","65A.xDA","Endemic (MDA not delivered)"
4236,"ZMB50856","Rest","65A.xDA","Endemic (MDA not delivered)"
4237,"MOZ33103","IA","65A.xIA","Endemic (MDA not delivered)"
4238,"AGO02182","Rest","65B.xxA","Endemicity unknown"
4239,"MWI28966","IA","65A.xIA","Endemic (under post-intervention surveillance)"
4240,"ZMB50837","Rest","65A.xDA","Endemic (under MDA)"
4241,"MOZ33197","IA","65A.xIA","Non-endemic"
4242,"MOZ33106","IA","65A.xIA","Endemic (MDA not delivered)"
4243,"AGO02058","IA","65A.xIA","Non-endemic"
4244,"ZMB50832","Rest","65A.IDA","Non-endemic"
4245,"MWI28950","IA","65A.xIA","Endemic (under post-intervention surveillance)"
