"","IUID","pop"
"424",0,0
"425",0,0
"426",0,0
"427",0,0
"428",0,0
"429",1,334747
"430",1,230950
"431",1,539106
"432",1,189561
"433",0,0
"434",0,0
"435",0,0
"436",0,0
"437",0,0
"438",0,0
"439",0,0
"440",1,388559
"441",0,0
"442",0,0
"443",1,189561
"444",0,0
"445",0,0
"446",0,0
"447",1,189561
"448",0,0
"449",0,0
"450",0,0
"451",0,0
"452",1,61756
"453",1,700729
"454",1,241473
"455",1,419088
"456",0,0
"457",1,189561
"458",0,0
"459",0,0
"460",0,0
"461",0,0
"462",0,0
"463",0,0
"464",1,177708
"465",0,0
"466",1,284092
"467",1,223742
"468",0,0
"469",1,153133
"470",1,173446
"471",1,160809
"472",0,0
"473",1,189561
"474",1,189561
"475",0,0
"476",1,400958
"477",1,184581
"478",1,238667
"479",1,189561
"480",0,0
"481",0,0
"482",0,0
"483",0,0
"484",0,0
"485",0,0
"486",1,395903
"487",1,144781
"488",1,205626
"489",1,254199
"490",1,277326
"491",0,0
"492",1,189561
"493",0,0
"494",0,0
"495",0,0
"496",1,147490
"497",1,189561
"498",0,0
"499",1,253687
"500",0,0
"501",0,0
"502",0,0
"503",1,96780
"504",1,158468
"505",1,447406
"506",0,0
"507",1,186994
"508",1,405058
"509",1,233999
"510",1,189561
"511",1,95600
"512",1,161681
"513",1,143886
"514",1,121065
"515",0,0
"516",0,0
"517",1,189561
"518",1,149734
"519",0,0
"520",1,233186
"521",1,126332
"522",1,290662
"523",1,309776
"524",1,243950
"525",1,302888
"526",1,213315
"527",1,315793
"528",1,157232
"529",0,0
"530",1,295794
"531",1,229019
"532",1,211938
"533",1,165453
"534",1,210606
"535",0,0
"536",1,189561
"537",1,189561
"538",1,189561
"539",0,0
"540",0,0
"541",0,0
"542",1,184739
"543",1,315595
"544",1,227112
"545",1,241799
"546",1,268184
"547",1,288078
"548",1,254439
"549",1,189252
"550",1,196202
"551",0,0
"552",0,0
"553",0,0
"554",0,0
"555",1,189561
"556",1,189561
"557",1,189561
"558",1,189561
"559",1,189561
"560",0,0
"561",0,0
"562",1,333557
"563",1,158544
"564",1,189561
"565",0,0
"566",1,189937
"567",1,428781
"568",1,272153
"569",0,0
"570",0,0
"571",0,0
"572",1,49288
"573",1,56447
"574",1,162087
"575",1,180377
"576",1,106427
"577",1,137574
"578",1,104500
"579",0,0
"580",0,0
"581",1,190558
"582",1,26917
"583",1,807416
"584",1,296869
"585",1,214733
"586",1,523250
"587",1,269477
"588",1,210024
"589",1,234006
"590",1,171648
"591",1,132005
"592",1,286870
"593",1,247739
"594",1,176389
"595",1,158554
"596",0,0
"597",0,0
"598",1,310070
"599",1,215617
"600",1,257651
"601",1,189561
"602",0,0
"603",1,370481
"604",1,382490
"605",1,424240
"606",1,180357
"607",1,452074
"608",1,456817
"609",1,94249
"610",1,189701
"611",1,222621
"612",1,264017
"613",1,151431
"614",1,215185
"615",1,189561
"616",1,29966
"617",1,12766
"618",1,5659
"619",1,8217
"620",1,8118
"621",1,8558
"622",1,6555
"623",1,13520
"624",1,7011
"625",1,151082
"626",1,387868
"627",1,107274
"628",1,147723
"629",1,222510
"630",0,0
"631",0,0
"632",1,189561
"633",1,139596
"634",0,0
"635",0,0
"636",0,0
"637",1,299362
"638",1,4882
"639",1,10270
"640",1,362000
"641",1,208181
"642",1,246228
"643",1,253341
"644",0,0
"645",1,189561
"646",0,0
"647",0,0
"648",1,58280
"649",1,17261
"650",1,370020
"651",1,296625
"652",1,208753
"653",1,286686
"654",1,110824
"655",1,193310
"656",0,0
"657",1,189561
"658",1,14499
"659",1,29611
"660",1,21871
"661",1,22319
"662",1,11493
"663",1,405085
"664",1,222669
"665",1,233893
"666",1,136841
"667",1,153040
"668",1,306579
"669",1,209855
"670",1,189561
"671",0,0
"672",0,0
"673",1,16048
"674",1,7539
"675",1,20208
"676",1,788193
"677",1,345234
"678",1,379454
"679",1,894987
"680",0,0
"681",0,0
"682",1,189561
"683",0,0
"684",0,0
"685",1,11790
"686",1,14799
"687",1,26017
"688",1,26471
"689",1,21083
"690",1,15598
"691",1,334530
"692",1,402387
"693",1,355541
"694",0,0
"695",1,189561
"696",1,189561
"697",1,8805
"698",1,44783
"699",1,16992
"700",1,16620
"701",1,70766
"702",1,117729
"703",1,181965
"704",0,0
"705",1,189561
"706",1,189561
"707",1,189561
"708",0,0
"709",1,21405
"710",1,10181
"711",1,140676
"712",1,644960
"713",1,195822
"714",1,993527
"715",0,0
"716",1,528193
"717",1,158977
"718",1,217364
"719",1,181628
"720",1,188711
"721",0,0
"722",0,0
"723",0,0
"724",0,0
"725",1,189561
"726",0,0
"727",1,14003
"728",1,11255
"729",1,16806
"730",1,17261
"731",1,291738
"732",1,196135
"733",1,156724
"734",1,381984
"735",1,177034
"736",1,373656
"737",0,0
"738",1,142701
"739",1,189561
"740",0,0
"741",0,0
"742",0,0
"743",1,7605
"744",1,14413
"745",1,73948
"746",1,16818
"747",1,225193
"748",1,258096
"749",1,281959
"750",1,193828
"751",1,294717
"752",1,290942
"753",1,264707
"754",0,0
"755",0,0
"756",0,0
"757",0,0
"758",0,0
"759",1,12388
"760",1,23273
"761",1,278093
"762",1,684293
"763",1,167435
"764",1,242185
"765",1,266538
"766",1,171842
"767",1,236710
"768",1,341698
"769",0,0
"770",1,189561
"771",1,189561
"772",1,232799
"773",1,14328
"774",1,42621
"775",1,8819
"776",1,45210
"777",0,0
"778",1,228467
"779",1,115482
"780",1,114509
"781",1,338754
"782",0,0
"783",1,189561
"784",1,9687
"785",1,6024
"786",1,15151
"787",1,11633
"788",1,6769
"789",1,204706
"790",1,366695
"791",1,224486
"792",1,388835
"793",1,315809
"794",1,291147
"795",0,0
"796",1,383710
"797",1,189561
"798",1,189561
"799",1,189561
"800",1,189561
"801",1,189561
"802",0,0
"803",1,21430
"804",1,30968
"805",1,23425
"806",1,5912
"807",1,295844
"808",1,305193
"809",1,198882
"810",1,134727
"811",0,0
"812",1,189561
"813",1,189561
"814",0,0
"815",0,0
"816",0,0
"817",1,27362
"818",1,6240
"819",1,240050
"820",1,141384
"821",1,10751
"822",1,7174
"823",1,11616
"824",1,16178
"825",1,144576
"826",1,160966
"827",1,231214
"828",1,207094
"829",1,144454
"830",1,339311
"831",1,317040
"832",1,84925
"833",1,150429
"834",0,0
"835",1,20885
"836",0,0
"837",0,0
"838",0,0
"839",1,9362
"840",1,4446
"841",1,270578
"842",1,124816
"843",1,252157
"844",1,253628
"845",1,408010
"846",1,177534
"847",1,238362
"848",0,0
"849",1,1943
"850",1,16170
"851",1,8961
"852",1,13907
"853",1,19501
"854",1,189482
"855",1,82027
"856",1,307664
"857",1,348252
"858",1,254317
"859",1,130926
"860",1,212054
"861",0,0
"862",1,64237
"863",0,0
"864",1,7386
"865",1,10989
"866",1,11133
"867",1,4123
"868",1,8544
"869",1,4522
"870",1,162926
"871",1,270236
"872",1,255285
"873",1,277103
"874",1,189561
"875",0,0
"876",0,0
"877",0,0
"878",1,7573
"879",1,23025
"880",1,345817
"881",0,0
"882",1,194931
"883",1,718882
"884",0,0
"885",0,0
"886",1,189561
"887",0,0
"888",0,0
"889",1,15776
"890",1,9852
"891",1,385799
"892",0,0
"893",1,365004
"894",1,188336
"895",0,0
"896",0,0
"897",1,189561
"898",1,67999
"899",0,0
"900",1,160588
"901",1,235575
"902",1,310701
"903",0,0
"904",0,0
"905",1,189561
"906",0,0
"907",1,274142
"908",1,167092
"909",1,365585
"910",1,228208
"911",1,262128
"912",1,431988
"913",1,134227
"914",1,189561
"915",0,0
"916",1,118946
"917",0,0
"918",1,3011
"919",1,21431
"920",1,523199
"921",0,0
"922",1,390803
"923",1,115951
"924",0,0
"925",1,327833
"926",1,213125
"927",1,260344
"928",1,224008
"929",0,0
"930",1,216833
"931",0,0
"932",0,0
"933",1,189561
"934",1,7117
"935",1,16803
"936",1,139045
"937",0,0
"938",1,313945
"939",1,188492
"940",1,189561
"941",0,0
"942",0,0
"943",0,0
"944",0,0
"945",1,3611
"946",0,0
"947",1,200489
"948",1,279483
"949",0,0
"950",1,216375
"951",0,0
"952",1,189561
"953",0,0
"954",1,2188
"955",1,228031
"956",1,175272
"957",1,200903
"958",1,349674
"959",1,363206
"960",1,189561
"961",0,0
"962",0,0
"963",1,1929
"964",1,14812
"965",0,0
"966",1,267329
"967",1,319226
"968",0,0
"969",1,189561
"970",1,189561
"971",0,0
"972",0,0
"973",1,6420
"974",1,20121
"975",1,18252
"976",1,181361
"977",1,284391
"978",1,171073
"979",1,583605
"980",1,370614
"981",1,164706
"982",1,78813
"983",1,103166
"984",1,187546
"985",1,201620
"986",1,319459
"987",1,375757
"988",1,346816
"989",1,270776
"990",0,0
"991",1,189561
"992",0,0
"993",0,0
"994",1,1876
"995",1,312231
"996",0,0
"997",1,123979
"998",1,189561
"999",0,0
"1000",0,0
"1001",0,0
"1002",0,0
"1003",0,0
"1004",1,330731
"1005",1,266294
"1006",1,242691
"1007",1,347885
"1008",1,394843
"1009",0,0
"1010",1,533728
"1011",1,189561
"1012",1,189561
"1013",0,0
"1014",1,323329
"1015",1,190490
"1016",1,127274
"1017",1,189561
"1018",0,0
"1019",1,4039
"1020",1,7846
"1021",1,11430
"1022",1,7790
"1023",1,155413
"1024",1,158137
"1025",1,189561
"1026",1,189561
"1027",0,0
"1028",0,0
"1029",1,17217
"1030",1,370863
"1031",1,395455
"1032",1,208405
"1033",1,285614
"1034",1,179328
"1035",1,122411
"1036",1,189561
"1037",1,189561
"1038",0,0
"1039",0,0
"1040",0,0
"1041",1,1518
"1042",1,705
"1043",1,857
"1044",1,114262
"1045",0,0
"1046",1,137544
"1047",1,404276
"1048",1,189561
"1049",1,25212
"1050",0,0
"1051",1,13305
"1052",1,210708
"1053",1,148270
"1054",1,105893
"1055",1,110964
"1056",1,95811
"1057",1,237056
"1058",1,274916
"1059",1,388802
"1060",1,189561
"1061",0,0
"1062",0,0
"1063",0,0
"1064",0,0
"1065",0,0
"1066",1,69341
"1067",1,64951
"1068",1,130449
"1069",1,199387
"1070",1,59964
"1071",0,0
"1072",1,189561
"1073",0,0
"1074",0,0
"1075",0,0
"1076",0,0
"1077",0,0
